customer_id,transaction_id,order_id,timestamp,amount,transaction_status,payment_method,bank,failure_reason,checkout_started,checkout_completed,cart_value,subscription_id,subscription_status,subscription_amount,renewal_date,invoice_id,invoice_amount,invoice_due_date,invoice_status,mandate_id,mandate_status,retry_count,payment_method_id,payment_method_expiry,product_id,product_category,product_price,promise_date,promise_status
C03529,T000023,O000023,2026-01-01T01:20:44,120000.0,SUCCESS,UPI,HDFC_BANK,,True,True,138782.13,,,,,,,,,,,,PM00001,2027-12-31,P00038,Electronics,120000.0,,
C03027,T000024,O000024,2026-01-01T01:24:44,2499.0,SUCCESS,UPI,HDFC_BANK,,True,True,2548.34,,,,,,,,,,,,PM00001,2027-12-31,P00021,Software,2499.0,,
C01426,T000025,O000025,2026-01-01T01:26:31,45000.0,SUCCESS,UPI,HDFC_BANK,,True,True,47492.1,,,,,,,,,,,,PM00001,2027-12-31,P00182,Electronics,45000.0,,
C03027,T000026,O000026,2026-01-01T01:26:32,499.0,SUCCESS,UPI,HDFC_BANK,,True,True,522.8,,,,,INV09878,25000.0,2026-06-16,PAID,,,,PM00001,2027-12-31,P00104,Accessories,499.0,,
C02955,T000027,O000027,2026-01-01T01:26:34,5999.0,FAILED,UPI,HDFC_BANK,insufficient_funds,True,False,7470.75,,,,,,,,,,,,PM00001,2027-12-31,P00068,Office Supplies,5999.0,,
C00716,T000028,O000028,2026-01-01T01:27:54,2999.0,SUCCESS,CARD,ICICI_BANK,,True,True,3599.72,S01597,ACTIVE,499.0,2026-08-22,INV09712,50000.0,2026-06-11,PAID,M01597,ACTIVE,0.0,PM01597,2028-05-08,P00496,Accessories,2999.0,,
C04407,T000029,O000029,2026-01-01T01:31:56,2598.0,SUCCESS,NETBANKING,SBI,,True,True,3149.4,,,,,,,,,,,,PM02045,2027-01-21,P00003,Accessories,1299.0,,
C02695,T000030,O000030,2026-01-01T01:32:11,120000.0,SUCCESS,UPI,ICICI_BANK,,True,True,122555.99,,,,,,,,,,,,PM03101,2029-05-05,P00292,Electronics,120000.0,,
C00413,T000031,O000031,2026-01-01T01:33:54,1299.0,SUCCESS,CARD,ICICI_BANK,,True,True,1580.28,,,,,,,,,,,,PM00460,2028-06-10,P00003,Accessories,1299.0,,
C01938,T000032,O000032,2026-01-01T01:34:03,1299.0,SUCCESS,UPI,HDFC_BANK,,True,True,1497.39,,,,,,,,,,,,PM00001,2027-12-31,P00003,Accessories,1299.0,,
C01053,T000033,O000033,2026-01-01T01:47:38,999.0,SUCCESS,UPI,HDFC_BANK,,True,True,1104.0,,,,,,,,,,,,PM00001,2027-12-31,P00387,Accessories,999.0,,
C00808,T000034,O000034,2026-01-01T01:47:44,998.0,SUCCESS,UPI,ICICI_BANK,,True,True,1006.94,,,,,,,,,,,,PM04763,2026-10-21,P00467,Accessories,499.0,,
C04766,T000035,O000035,2026-01-01T01:48:15,2499.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,2723.19,,,,,,,,,,,,PM04613,2026-09-01,P00002,Accessories,2499.0,,
C03395,T000036,O000036,2026-01-01T01:50:30,2499.0,SUCCESS,CARD,HDFC_BANK,,True,True,2826.71,,,,,,,,,,,,PM00303,2026-07-05,P00219,Software,2499.0,,
C01453,T000037,O000037,2026-01-01T01:55:02,1499.0,SUCCESS,UPI,HDFC_BANK,,True,True,1795.74,,,,,,,,,,,,PM00001,2027-12-31,P00495,Accessories,1499.0,,
C03399,T000038,O000038,2026-01-01T01:57:22,25000.0,SUCCESS,CARD,HDFC_BANK,,True,True,25734.09,,,,,,,,,,,,PM04997,2028-01-28,P00210,Electronics,25000.0,,
C04018,T000039,O000039,2026-01-01T01:58:40,85000.0,SUCCESS,UPI,ICICI_BANK,,True,True,90284.23,,,,,,,,,,,,PM03819,2026-09-22,P00378,Electronics,85000.0,,
C01545,T000040,O000040,2026-01-01T02:01:10,85000.0,SUCCESS,UPI,HDFC_BANK,,True,True,105214.2,,,,,,,,,,,,PM00001,2027-12-31,P00112,Electronics,85000.0,,
C04930,T000041,O000041,2026-01-01T02:01:12,120000.0,SUCCESS,UPI,KOTAK_BANK,,True,True,134653.57,,,,,,,,,,,,PM00338,2028-12-29,P00207,Electronics,120000.0,,
C04422,T000042,O000042,2026-01-01T02:09:52,1299.0,SUCCESS,UPI,HDFC_BANK,,True,True,1336.85,,,,,,,,,,,,PM00001,2027-12-31,P00003,Accessories,1299.0,,
C03976,T000043,O000043,2026-01-01T02:26:42,14999.0,SUCCESS,UPI,AXIS_BANK,,True,True,15766.14,,,,,,,,,,,,PM03517,2028-02-23,P00448,Cloud Services,14999.0,,
C03591,T000044,O000044,2026-01-01T02:29:41,4999.0,PENDING,UPI,HDFC_BANK,,True,False,6058.49,,,,,INV08471,500000.0,2026-08-25,OVERDUE,,,,PM00001,2027-12-31,P00290,Software,4999.0,2026-08-15,UNFULFILLED
C00193,T000045,O000045,2026-01-01T02:36:41,1999.0,SUCCESS,UPI,KOTAK_BANK,,True,True,2171.22,,,,,,,,,,,,PM04006,2027-05-03,P00384,Office Supplies,1999.0,,
C00119,T000046,O000046,2026-01-01T02:40:14,85000.0,FAILED,UPI,HDFC_BANK,network_error,True,False,90258.89,,,,,,,,,,,,PM00001,2027-12-31,P00378,Electronics,85000.0,,
C00795,T000047,O000047,2026-01-01T02:55:05,25000.0,SUCCESS,UPI,HDFC_BANK,,True,True,31156.06,,,,,,,,,,,,PM00001,2027-12-31,P00340,Electronics,25000.0,,
C04625,T000048,O000048,2026-01-01T02:58:56,65000.0,SUCCESS,NETBANKING,ICICI_BANK,,True,True,69548.2,,,,,,,,,,,,PM04701,2026-09-28,P00001,Electronics,65000.0,,
C01053,T000049,O000049,2026-01-01T03:07:04,29999.0,SUCCESS,UPI,HDFC_BANK,,True,True,34096.16,,,,,,,,,,,,PM00001,2027-12-31,P00277,Cloud Services,29999.0,,
C03507,T000050,O000050,2026-01-01T03:08:49,998.0,SUCCESS,MANDATE,ICICI_BANK,,True,True,1077.49,,,,,INV09600,25000.0,2026-08-16,PAID,,,,PM02199,2027-07-24,P00111,Accessories,499.0,,
C04916,T000051,O000051,2026-01-01T03:27:33,45000.0,SUCCESS,MANDATE,HDFC_BANK,,True,True,54587.93,,,,,,,,,,,,PM02755,2028-12-07,P00388,Electronics,45000.0,,
C04732,T000052,O000052,2026-01-01T03:40:29,799.0,SUCCESS,UPI,HDFC_BANK,,True,True,894.59,,,,,,,,,,,,PM00001,2027-12-31,P00486,Hardware,799.0,,
C01991,T000053,O000053,2026-01-01T03:48:19,2999.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,3233.3,,,,,,,,,,,,PM01015,2027-05-29,P00217,Accessories,2999.0,,
C03408,T000054,O000054,2026-01-01T03:52:40,999.0,SUCCESS,NETBANKING,HDFC_BANK,,True,True,1221.51,,,,,,,,,,,,PM03670,2026-07-21,P00421,Cloud Services,999.0,,
C03796,T000055,O000055,2026-01-01T03:54:18,120000.0,SUCCESS,UPI,HDFC_BANK,,True,True,128221.57,,,,,,,,,,,,PM00001,2027-12-31,P00292,Electronics,120000.0,,
C02750,T000056,O000056,2026-01-01T03:59:49,9998.0,SUCCESS,CARD,KOTAK_BANK,,True,True,10345.13,,,,,,,,,,,,PM03572,2026-09-30,P00415,Software,4999.0,,
C02624,T000057,O000057,2026-01-01T04:06:27,59998.0,SUCCESS,UPI,HDFC_BANK,,True,True,71179.65,,,,,,,,,,,,PM00001,2027-12-31,P00297,Cloud Services,29999.0,,
C01080,T000058,O000058,2026-01-01T04:31:31,11998.0,SUCCESS,UPI,HDFC_BANK,,True,True,13050.21,,,,,,,,,,,,PM00001,2027-12-31,P00068,Office Supplies,5999.0,,
C03395,T000059,O000059,2026-01-01T04:42:21,999.0,SUCCESS,CARD,HDFC_BANK,,True,True,1080.73,S00303,ACTIVE,499.0,2026-08-08,INV09028,250000.0,2026-09-01,ISSUED,,,,PM00303,2026-07-05,P00282,Accessories,999.0,,
C01420,T000060,O000060,2026-01-01T04:46:32,2499.0,SUCCESS,UPI,HDFC_BANK,,True,True,2550.76,,,,,,,,,,,,PM00001,2027-12-31,P00002,Accessories,2499.0,,
C01486,T000061,O000061,2026-01-01T04:50:55,999.0,SUCCESS,UPI,HDFC_BANK,,True,True,1132.32,,,,,,,,,,,,PM04735,2027-02-06,P00392,Accessories,999.0,,
C01256,T000062,O000062,2026-01-01T04:52:52,15000.0,SUCCESS,MANDATE,KOTAK_BANK,,True,True,15925.32,,,,,,,,,,,,PM04039,2027-04-03,P00284,Electronics,15000.0,,
C00314,T000063,O000063,2026-01-01T04:59:03,1999.0,PENDING,UPI,SBI,,True,False,2183.33,,,,,,,,,M02333,SUSPENDED,1.0,PM02333,2026-12-22,P00122,Office Supplies,1999.0,,
C04234,T000064,O000064,2026-01-01T05:02:59,1299.0,SUCCESS,UPI,HDFC_BANK,,True,True,1538.26,,,,,,,,,,,,PM00001,2027-12-31,P00003,Accessories,1299.0,,
C04322,T000065,O000065,2026-01-01T05:04:03,499.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,576.84,,,,,,,,,,,,PM01333,2028-03-03,P00329,Accessories,499.0,,
C03637,T000066,O000066,2026-01-01T05:05:28,1499.0,SUCCESS,NETBANKING,CITI_BANK,,True,True,1599.37,S00643,ACTIVE,999.0,2026-09-03,,,,,,,,PM00643,2029-01-25,P00303,Accessories,1499.0,,
C04690,T000067,O000067,2026-01-01T05:09:21,2499.0,SUCCESS,UPI,HDFC_BANK,,True,True,2716.96,,,,,,,,,,,,PM00001,2027-12-31,P00267,Software,2499.0,,
C03129,T000068,O000068,2026-01-01T05:14:22,1299.0,FAILED,UPI,HDFC_BANK,card_expired,True,False,1416.22,,,,,,,,,,,,PM00001,2027-12-31,P00003,Accessories,1299.0,,
C03157,T000069,O000069,2026-01-01T05:15:21,1999.0,SUCCESS,UPI,HDFC_BANK,,True,True,2406.04,,,,,,,,,,,,PM03554,2027-12-05,P00499,Hardware,1999.0,,
C04463,T000070,O000070,2026-01-01T05:18:10,1499.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,1756.32,,,,,,,,,,,,PM04579,2026-12-20,P00017,Accessories,1499.0,,
C01016,T000071,O000071,2026-01-01T05:18:46,1299.0,SUCCESS,CARD,HDFC_BANK,,True,True,1365.68,,,,,,,,,,,,PM04721,2028-02-02,P00003,Accessories,1299.0,,
C02151,T000072,O000072,2026-01-01T05:19:16,65000.0,FAILED,UPI,ICICI_BANK,network_error,True,False,71268.87,,,,,,,,,,,,PM00681,2029-04-19,P00001,Electronics,65000.0,,
C03516,T000073,O000073,2026-01-01T05:27:55,15000.0,SUCCESS,UPI,SBI,,True,True,18130.58,,,,,,,,,,,,PM03908,2027-06-07,P00132,Electronics,15000.0,,
C01281,T000074,O000074,2026-01-01T05:34:23,4999.0,SUCCESS,CARD,HDFC_BANK,,True,True,5268.86,S01727,ACTIVE,499.0,2026-09-09,,,,,,,,PM01727,2027-03-30,P00148,Accessories,4999.0,,
C01091,T000075,O000075,2026-01-01T05:49:26,999.0,SUCCESS,UPI,HDFC_BANK,,True,True,1128.59,,,,,,,,,,,,PM00001,2027-12-31,P00275,Accessories,999.0,,
C04525,T000076,O000076,2026-01-01T05:50:34,14999.0,SUCCESS,MANDATE,HDFC_BANK,,True,True,15458.81,S01046,ACTIVE,1499.0,2026-09-08,,,,,,,,PM04766,2026-09-20,P00236,Cloud Services,14999.0,,
C04981,T000077,O000077,2026-01-01T05:51:48,15000.0,SUCCESS,CARD,KOTAK_BANK,,True,True,17025.88,,,,,,,,,,,,PM00497,2027-01-22,P00286,Electronics,15000.0,,
C01896,T000078,O000078,2026-01-01T05:51:58,299.0,FAILED,UPI,ICICI_BANK,timeout,True,False,358.31,,,,,,,,,M01588,SUSPENDED,1.0,PM04750,2026-11-26,P00406,Office Supplies,299.0,,
C01126,T000079,O000079,2026-01-01T06:00:50,1999.0,SUCCESS,CARD,AXIS_BANK,,True,True,2294.3,,,,,,,,,,,,PM02595,2029-04-14,P00122,Office Supplies,1999.0,,
C02003,T000080,O000080,2026-01-01T06:03:35,799.0,SUCCESS,UPI,HDFC_BANK,,True,True,959.91,,,,,,,,,,,,PM00001,2027-12-31,P00187,Office Supplies,799.0,,
C01465,T000081,O000081,2026-01-01T06:04:47,120000.0,PENDING,UPI,HDFC_BANK,,True,False,142151.13,,,,,,,,,,,,PM00001,2027-12-31,P00401,Electronics,120000.0,,
C04117,T000082,O000082,2026-01-01T06:11:59,1299.0,SUCCESS,UPI,HDFC_BANK,,True,True,1305.13,,,,,,,,,M01500,ACTIVE,0.0,PM01500,2026-11-26,P00003,Accessories,1299.0,,
C04551,T000083,O000083,2026-01-01T06:17:22,2999.0,SUCCESS,UPI,SBI,,True,True,3445.96,,,,,,,,,,,,PM04180,2029-01-31,P00270,Accessories,2999.0,,
C01933,T000084,O000084,2026-01-01T06:21:13,299.0,SUCCESS,UPI,KOTAK_BANK,,True,True,371.98,,,,,,,,,,,,PM04405,2027-01-25,P00391,Hardware,299.0,,
C02973,T000085,O000085,2026-01-01T06:22:54,85000.0,SUCCESS,UPI,ICICI_BANK,,True,True,94497.08,,,,,,,,,,,,PM04101,2029-01-07,P00319,Electronics,85000.0,,
C00379,T000086,O000086,2026-01-01T06:25:19,85000.0,SUCCESS,UPI,HDFC_BANK,,True,True,103546.12,,,,,,,,,,,,PM00001,2027-12-31,P00174,Electronics,85000.0,,
C02287,T000087,O000087,2026-01-01T06:25:50,2499.0,SUCCESS,CARD,HDFC_BANK,,True,True,2741.46,,,,,INV09097,50000.0,2026-06-30,OVERDUE,,,,PM00738,2027-01-01,P00055,Software,2499.0,2026-08-15,UNFULFILLED
C00034,T000088,O000088,2026-01-01T06:29:42,4999.0,SUCCESS,UPI,HDFC_BANK,,True,True,5847.55,,,,,,,,,,,,PM00001,2027-12-31,P00136,Accessories,4999.0,,
C03365,T000089,O000089,2026-01-01T06:30:39,499.0,SUCCESS,UPI,SBI,,True,True,548.25,,,,,,,,,,,,PM04921,2027-01-13,P00066,Accessories,499.0,,
C00837,T000090,O000090,2026-01-01T06:33:33,2499.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,3043.68,,,,,,,,,M02413,ACTIVE,0.0,PM02413,2026-12-24,P00002,Accessories,2499.0,,
C04399,T000091,O000091,2026-01-01T06:36:42,50000.0,SUCCESS,UPI,HDFC_BANK,,True,True,52807.74,,,,,,,,,,,,PM00001,2027-12-31,P00440,Electronics,25000.0,,
C03117,T000092,O000092,2026-01-01T06:40:22,65000.0,SUCCESS,CARD,ICICI_BANK,,True,True,77883.46,,,,,,,,,,,,PM03321,2026-09-05,P00001,Electronics,65000.0,,
C04690,T000093,O000093,2026-01-01T06:43:34,25000.0,SUCCESS,UPI,HDFC_BANK,,True,True,29102.52,,,,,,,,,,,,PM00001,2027-12-31,P00069,Electronics,25000.0,,
C04734,T000094,O000094,2026-01-01T06:46:03,1999.0,FAILED,CARD,AXIS_BANK,insufficient_funds,True,False,2261.95,,,,,,,,,,,,PM03959,2029-05-24,P00140,Hardware,1999.0,,
C00808,T000095,O000095,2026-01-01T06:50:30,2499.0,SUCCESS,UPI,ICICI_BANK,,True,True,2545.04,,,,,,,,,,,,PM04763,2026-10-21,P00002,Accessories,2499.0,,
C02566,T000096,O000096,2026-01-01T06:57:29,998.0,SUCCESS,CARD,HDFC_BANK,,True,True,1073.53,S00287,ACTIVE,299.0,2026-09-25,,,,,,,,PM04047,2026-09-03,P00225,Accessories,499.0,,
C00962,T000097,O000097,2026-01-01T07:06:45,2499.0,SUCCESS,UPI,KOTAK_BANK,,True,True,2550.51,,,,,,,,,,,,PM04778,2027-02-15,P00077,Cloud Services,2499.0,,
C02241,T000098,O000098,2026-01-01T07:11:32,5999.0,SUCCESS,CARD,KOTAK_BANK,,True,True,6884.49,,,,,,,,,,,,PM03668,2026-07-22,P00068,Office Supplies,5999.0,,
C02217,T000099,O000099,2026-01-01T07:12:37,299.0,PENDING,UPI,ICICI_BANK,,True,False,310.05,,,,,,,,,,,,PM02235,2026-10-10,P00044,Hardware,299.0,,
C03697,T000100,O000100,2026-01-01T07:13:13,45000.0,SUCCESS,UPI,ICICI_BANK,,True,True,48554.31,S02417,ACTIVE,299.0,2026-08-13,,,,,,,,PM03468,2028-08-03,P00410,Electronics,45000.0,,
C04905,T000101,O000101,2026-01-01T07:13:42,2499.0,SUCCESS,UPI,HDFC_BANK,,True,True,2578.74,,,,,,,,,,,,PM01615,2026-09-04,P00002,Accessories,2499.0,,
C03107,T000102,O000102,2026-01-01T07:14:45,2999.0,SUCCESS,UPI,HDFC_BANK,,True,True,3162.89,,,,,,,,,,,,PM00001,2027-12-31,P00045,Accessories,2999.0,,
C04074,T000103,O000103,2026-01-01T07:17:29,65000.0,SUCCESS,NETBANKING,HDFC_BANK,,True,True,69187.26,S02061,ACTIVE,499.0,2026-08-18,,,,,,,,PM03534,2027-11-15,P00001,Electronics,65000.0,,
C02003,T000104,O000104,2026-01-01T07:18:16,120000.0,SUCCESS,UPI,HDFC_BANK,,True,True,126424.66,,,,,,,,,,,,PM00001,2027-12-31,P00372,Electronics,120000.0,,
C00359,T000105,O000105,2026-01-01T07:21:45,65000.0,SUCCESS,CARD,KOTAK_BANK,,True,True,75841.44,S02996,ACTIVE,299.0,2026-08-05,,,,,,,,PM02996,2028-01-11,P00001,Electronics,65000.0,,
C02572,T000106,O000106,2026-01-01T07:22:47,4999.0,SUCCESS,UPI,HDFC_BANK,,True,True,5978.7,,,,,INV09457,1200000.0,2026-07-29,OVERDUE,,,,PM00001,2027-12-31,P00213,Software,4999.0,2026-08-15,UNFULFILLED
C04560,T000107,O000107,2026-01-01T07:23:26,5999.0,SUCCESS,NETBANKING,AXIS_BANK,,True,True,7312.76,,,,,INV09766,50000.0,2026-06-29,OVERDUE,,,,PM03699,2027-10-19,P00386,Office Supplies,5999.0,2026-09-10,PENDING
C01161,T000108,O000108,2026-01-01T07:27:12,799.0,FAILED,UPI,SBI,card_expired,True,False,852.44,,,,,,,,,,,,PM00809,2026-11-16,P00204,Office Supplies,799.0,,
C01243,T000109,O000109,2026-01-01T07:32:02,1999.0,SUCCESS,UPI,HDFC_BANK,,True,True,2190.99,,,,,,,,,,,,PM00001,2027-12-31,P00470,Hardware,1999.0,,
C00486,T000110,O000110,2026-01-01T07:34:58,90000.0,SUCCESS,UPI,HDFC_BANK,,True,True,103263.23,,,,,,,,,,,,PM00001,2027-12-31,P00129,Electronics,45000.0,,
C04983,T000111,O000111,2026-01-01T07:36:15,29999.0,FAILED,UPI,HDFC_BANK,card_expired,True,False,33876.21,,,,,,,,,,,,PM00001,2027-12-31,P00285,Software,29999.0,,
C02041,T000112,O000112,2026-01-01T07:36:36,120000.0,SUCCESS,UPI,ICICI_BANK,,True,True,132228.59,,,,,,,,,M01707,ACTIVE,0.0,PM04331,2026-09-02,P00223,Electronics,120000.0,,
C01438,T000113,O000113,2026-01-01T07:37:22,45000.0,SUCCESS,UPI,HDFC_BANK,,True,True,50547.45,,,,,,,,,,,,PM00001,2027-12-31,P00441,Electronics,45000.0,,
C04690,T000114,O000114,2026-01-01T07:39:45,799.0,FAILED,UPI,HDFC_BANK,timeout,True,False,872.18,,,,,,,,,,,,PM00001,2027-12-31,P00013,Office Supplies,799.0,,
C04051,T000115,O000115,2026-01-01T07:41:23,120000.0,PENDING,UPI,HDFC_BANK,,True,False,121031.61,,,,,,,,,,,,PM00001,2027-12-31,P00118,Electronics,120000.0,,
C04395,T000116,O000116,2026-01-01T07:41:30,499.0,SUCCESS,UPI,HDFC_BANK,,True,True,587.78,,,,,INV09785,25000.0,2026-07-25,OVERDUE,,,,PM00001,2027-12-31,P00060,Accessories,499.0,2026-09-10,PENDING
C04792,T000117,O000117,2026-01-01T07:42:32,4999.0,PENDING,UPI,HDFC_BANK,,True,False,5205.06,,,,,,,,,,,,PM00001,2027-12-31,P00233,Software,4999.0,,
C04302,T000118,O000118,2026-01-01T07:47:19,85000.0,SUCCESS,UPI,HDFC_BANK,,True,True,85795.02,,,,,,,,,,,,PM00001,2027-12-31,P00203,Electronics,85000.0,,
C04933,T000119,O000119,2026-01-01T07:54:22,4999.0,SUCCESS,UPI,HDFC_BANK,,True,True,5664.64,,,,,,,,,,,,PM00001,2027-12-31,P00076,Cloud Services,4999.0,,
C03157,T000120,O000120,2026-01-01T07:58:15,1998.0,SUCCESS,UPI,HDFC_BANK,,True,True,2395.13,,,,,,,,,,,,PM03554,2027-12-05,P00173,Accessories,999.0,,
C01167,T000121,O000121,2026-01-01T07:59:08,25000.0,SUCCESS,CARD,HDFC_BANK,,True,True,27752.67,,,,,,,,,,,,PM00337,2028-08-05,P00156,Electronics,25000.0,,
C00807,T000122,O000122,2026-01-01T08:00:53,65000.0,SUCCESS,CARD,HDFC_BANK,,True,True,67693.78,,,,,,,,,M01323,FAILED,1.0,PM01323,2027-01-18,P00001,Electronics,65000.0,,
C02980,T000123,O000123,2026-01-01T08:01:25,15000.0,SUCCESS,CARD,SBI,,True,True,16220.67,,,,,INV09890,50000.0,2026-06-22,OVERDUE,,,,PM04457,2026-09-25,P00473,Electronics,15000.0,,
C01757,T000124,O000124,2026-01-01T08:01:42,499.0,SUCCESS,NETBANKING,SBI,,True,True,536.04,,,,,,,,,,,,PM04485,2026-09-05,P00232,Accessories,499.0,,
C00578,T000125,O000125,2026-01-01T08:01:51,999.0,SUCCESS,UPI,HDFC_BANK,,True,True,1246.65,,,,,,,,,,,,PM00001,2027-12-31,P00482,Software,999.0,,
C03976,T000126,O000126,2026-01-01T08:15:25,4999.0,SUCCESS,UPI,AXIS_BANK,,True,True,5454.93,,,,,INV09943,50000.0,2026-06-10,PAID,,,,PM03517,2028-02-23,P00185,Accessories,4999.0,,
C01699,T000127,O000127,2026-01-01T08:16:53,45000.0,SUCCESS,CARD,CITI_BANK,,True,True,54883.29,,,,,INV08627,120000.0,2026-06-19,OVERDUE,,,,PM04747,2029-04-05,P00133,Electronics,45000.0,2026-08-15,UNFULFILLED
C02205,T000128,O000128,2026-01-01T08:18:02,2598.0,SUCCESS,CARD,SBI,,True,True,2673.57,,,,,,,,,,,,PM03328,2027-01-04,P00003,Accessories,1299.0,,
C03027,T000129,O000129,2026-01-01T08:19:14,65000.0,SUCCESS,UPI,HDFC_BANK,,True,True,75698.48,,,,,,,,,,,,PM00001,2027-12-31,P00001,Electronics,65000.0,,
C01997,T000130,O000130,2026-01-01T08:19:34,4999.0,SUCCESS,MANDATE,KOTAK_BANK,,True,True,5861.95,,,,,INV09702,120000.0,2026-06-25,OVERDUE,,,,PM04461,2026-11-22,P00426,Accessories,4999.0,2026-09-10,PENDING
C04328,T000131,O000131,2026-01-01T08:23:45,9998.0,SUCCESS,UPI,AXIS_BANK,,True,True,11276.76,,,,,,,,,,,,PM02205,2026-09-09,P00426,Accessories,4999.0,,
